8	78
9.300000191	68
7.5	70
8.899999619	96
10.19999981	74
8.300000191	111
8.800000191	77
8.800000191	168
10.69999981	82
11.69999981	89
8.5	149
8.300000191	60
8.199999809	96
7.900000095	83
10.30000019	130
7.400000095	145
9.600000381	112
9.300000191	131
10.60000038	80
9.699999809	130
11.60000038	140
8.100000381	154
9.800000191	118
7.400000095	94
9.399999619	119
11.19999981	153
9.100000381	116
10.5	97
11.89999962	176
8.399999619	75
5	134
9.800000191	161
9.800000191	111
10.80000019	114
10.10000038	142
10.89999962	238
9.199999809	78
8.300000191	196
7.300000191	125
9.399999619	82
9.399999619	125
9.800000191	129
3.599999905	84
8.399999619	183
10.80000019	119
10.10000038	180
9	82
10	71
11.30000019	118
11.30000019	121
12.80000019	68
10	112
6.699999809	109
